"date","load","unit","year","time_interval","country"
2017-01-13 21:00:00,74331,"MAW",2017,60,"FR"
2017-01-13 22:00:00,75138,"MAW",2017,60,"FR"
2017-01-13 23:00:00,72317,"MAW",2017,60,"FR"
2017-01-14 00:00:00,69652,"MAW",2017,60,"FR"
2017-01-14 01:00:00,67958,"MAW",2017,60,"FR"
2017-01-14 02:00:00,65105,"MAW",2017,60,"FR"
2017-01-14 03:00:00,63793,"MAW",2017,60,"FR"
2017-01-14 04:00:00,64586,"MAW",2017,60,"FR"
2017-01-14 05:00:00,66338,"MAW",2017,60,"FR"
2017-01-14 06:00:00,68956,"MAW",2017,60,"FR"
2017-01-14 07:00:00,71886,"MAW",2017,60,"FR"
2017-01-14 08:00:00,74153,"MAW",2017,60,"FR"
2017-01-14 09:00:00,74550,"MAW",2017,60,"FR"
2017-01-14 10:00:00,74498,"MAW",2017,60,"FR"
2017-01-14 11:00:00,75264,"MAW",2017,60,"FR"
2017-01-14 12:00:00,73334,"MAW",2017,60,"FR"
2017-01-14 13:00:00,70508,"MAW",2017,60,"FR"
2017-01-14 14:00:00,68410,"MAW",2017,60,"FR"
2017-01-14 15:00:00,67861,"MAW",2017,60,"FR"
2017-01-14 16:00:00,70963,"MAW",2017,60,"FR"
2017-01-14 17:00:00,75454,"MAW",2017,60,"FR"
2017-01-14 18:00:00,75976,"MAW",2017,60,"FR"
2017-01-14 19:00:00,73401,"MAW",2017,60,"FR"
2017-01-14 20:00:00,70762,"MAW",2017,60,"FR"
2017-01-14 21:00:00,72022,"MAW",2017,60,"FR"
2017-01-14 22:00:00,73893,"MAW",2017,60,"FR"
2017-01-14 23:00:00,71756,"MAW",2017,60,"FR"
2017-01-15 00:00:00,69374,"MAW",2017,60,"FR"
2017-01-15 01:00:00,67617,"MAW",2017,60,"FR"
2017-01-15 02:00:00,64370,"MAW",2017,60,"FR"
2017-01-15 03:00:00,62708,"MAW",2017,60,"FR"
2017-01-15 04:00:00,62790,"MAW",2017,60,"FR"
2017-01-15 05:00:00,63335,"MAW",2017,60,"FR"
2017-01-15 06:00:00,64559,"MAW",2017,60,"FR"
2017-01-15 07:00:00,66325,"MAW",2017,60,"FR"
2017-01-15 08:00:00,69174,"MAW",2017,60,"FR"
2017-01-15 09:00:00,71789,"MAW",2017,60,"FR"
2017-01-15 10:00:00,73158,"MAW",2017,60,"FR"
2017-01-15 11:00:00,74759,"MAW",2017,60,"FR"
2017-01-15 12:00:00,72464,"MAW",2017,60,"FR"
2017-01-15 13:00:00,69577,"MAW",2017,60,"FR"
2017-01-15 14:00:00,67779,"MAW",2017,60,"FR"
2017-01-15 15:00:00,67421,"MAW",2017,60,"FR"
2017-01-15 16:00:00,70218,"MAW",2017,60,"FR"
2017-01-15 17:00:00,75112,"MAW",2017,60,"FR"
2017-01-15 18:00:00,76388,"MAW",2017,60,"FR"
2017-01-15 19:00:00,74289,"MAW",2017,60,"FR"
2017-01-15 20:00:00,71312,"MAW",2017,60,"FR"
2017-01-15 21:00:00,71878,"MAW",2017,60,"FR"
2017-01-15 22:00:00,73119,"MAW",2017,60,"FR"
2017-01-15 23:00:00,70952,"MAW",2017,60,"FR"
2017-01-16 00:00:00,68749,"MAW",2017,60,"FR"
2017-01-16 01:00:00,67335,"MAW",2017,60,"FR"
2017-01-16 02:00:00,64673,"MAW",2017,60,"FR"
2017-01-16 03:00:00,63919,"MAW",2017,60,"FR"
2017-01-16 04:00:00,66812,"MAW",2017,60,"FR"
2017-01-16 05:00:00,72649,"MAW",2017,60,"FR"
2017-01-16 06:00:00,78426,"MAW",2017,60,"FR"
2017-01-16 07:00:00,80676,"MAW",2017,60,"FR"
2017-01-16 08:00:00,81170,"MAW",2017,60,"FR"
2017-01-16 09:00:00,81346,"MAW",2017,60,"FR"
2017-01-16 10:00:00,81841,"MAW",2017,60,"FR"
2017-01-16 11:00:00,81880,"MAW",2017,60,"FR"
2017-01-16 12:00:00,80772,"MAW",2017,60,"FR"
2017-01-16 13:00:00,79196,"MAW",2017,60,"FR"
2017-01-16 14:00:00,77279,"MAW",2017,60,"FR"
2017-01-16 15:00:00,76975,"MAW",2017,60,"FR"
2017-01-16 16:00:00,79409,"MAW",2017,60,"FR"
2017-01-16 17:00:00,84316,"MAW",2017,60,"FR"
2017-01-16 18:00:00,84467,"MAW",2017,60,"FR"
2017-01-16 19:00:00,80471,"MAW",2017,60,"FR"
2017-01-16 20:00:00,76675,"MAW",2017,60,"FR"
2017-01-16 21:00:00,76982,"MAW",2017,60,"FR"
2017-01-16 22:00:00,78230,"MAW",2017,60,"FR"
2017-01-16 23:00:00,75684,"MAW",2017,60,"FR"
2017-01-17 00:00:00,74542,"MAW",2017,60,"FR"
2017-01-17 01:00:00,73537,"MAW",2017,60,"FR"
2017-01-17 02:00:00,71244,"MAW",2017,60,"FR"
2017-01-17 03:00:00,70855,"MAW",2017,60,"FR"
2017-01-17 04:00:00,73672,"MAW",2017,60,"FR"
2017-01-17 05:00:00,79689,"MAW",2017,60,"FR"
2017-01-17 06:00:00,85843,"MAW",2017,60,"FR"
2017-01-17 07:00:00,87925,"MAW",2017,60,"FR"
2017-01-17 08:00:00,87964,"MAW",2017,60,"FR"
2017-01-17 09:00:00,87122,"MAW",2017,60,"FR"
2017-01-17 10:00:00,86475,"MAW",2017,60,"FR"
2017-01-17 11:00:00,85594,"MAW",2017,60,"FR"
2017-01-17 12:00:00,83713,"MAW",2017,60,"FR"
2017-01-17 13:00:00,81553,"MAW",2017,60,"FR"
2017-01-17 14:00:00,79820,"MAW",2017,60,"FR"
2017-01-17 15:00:00,79845,"MAW",2017,60,"FR"
2017-01-17 16:00:00,83242,"MAW",2017,60,"FR"
2017-01-17 17:00:00,89243,"MAW",2017,60,"FR"
2017-01-17 18:00:00,89723,"MAW",2017,60,"FR"
2017-01-17 19:00:00,85898,"MAW",2017,60,"FR"
2017-01-17 20:00:00,81967,"MAW",2017,60,"FR"
2017-01-17 21:00:00,82202,"MAW",2017,60,"FR"
2017-01-17 22:00:00,83166,"MAW",2017,60,"FR"
2017-01-17 23:00:00,80630,"MAW",2017,60,"FR"
2017-01-18 00:00:00,79436,"MAW",2017,60,"FR"
2017-01-18 01:00:00,78331,"MAW",2017,60,"FR"
2017-01-18 02:00:00,76040,"MAW",2017,60,"FR"
2017-01-18 03:00:00,75288,"MAW",2017,60,"FR"
2017-01-18 04:00:00,77984,"MAW",2017,60,"FR"
2017-01-18 05:00:00,83760,"MAW",2017,60,"FR"
2017-01-18 06:00:00,89547,"MAW",2017,60,"FR"
2017-01-18 07:00:00,92199,"MAW",2017,60,"FR"
2017-01-18 08:00:00,92419,"MAW",2017,60,"FR"
2017-01-18 09:00:00,91669,"MAW",2017,60,"FR"
2017-01-18 10:00:00,90613,"MAW",2017,60,"FR"
2017-01-18 11:00:00,89584,"MAW",2017,60,"FR"
2017-01-18 12:00:00,87244,"MAW",2017,60,"FR"
2017-01-18 13:00:00,85102,"MAW",2017,60,"FR"
2017-01-18 14:00:00,83199,"MAW",2017,60,"FR"
2017-01-18 15:00:00,82893,"MAW",2017,60,"FR"
2017-01-18 16:00:00,85831,"MAW",2017,60,"FR"
2017-01-18 17:00:00,91463,"MAW",2017,60,"FR"
2017-01-18 18:00:00,91891,"MAW",2017,60,"FR"
2017-01-18 19:00:00,87827,"MAW",2017,60,"FR"
2017-01-18 20:00:00,84113,"MAW",2017,60,"FR"
2017-01-18 21:00:00,84263,"MAW",2017,60,"FR"
2017-01-18 22:00:00,85123,"MAW",2017,60,"FR"
2017-01-18 23:00:00,83039,"MAW",2017,60,"FR"
2017-01-19 00:00:00,82012,"MAW",2017,60,"FR"
2017-01-19 01:00:00,80935,"MAW",2017,60,"FR"
2017-01-19 02:00:00,78385,"MAW",2017,60,"FR"
2017-01-19 03:00:00,77577,"MAW",2017,60,"FR"
2017-01-19 04:00:00,80026,"MAW",2017,60,"FR"
2017-01-19 05:00:00,85907,"MAW",2017,60,"FR"
2017-01-19 06:00:00,91654,"MAW",2017,60,"FR"
2017-01-19 07:00:00,93256,"MAW",2017,60,"FR"
2017-01-19 08:00:00,93123,"MAW",2017,60,"FR"
2017-01-19 09:00:00,91987,"MAW",2017,60,"FR"
2017-01-19 10:00:00,90849,"MAW",2017,60,"FR"
